epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1
1,0.46194825982312104,0.7181818181818181,0.7161021462666772,0.46244901075507655,0.8666666666666667,0.8439716312056738
2,0.24681169893834498,0.8519480519480519,0.849319502296915,0.4017144546364293,0.8484848484848485,0.8159905937683716
3,0.2207725951810936,0.8766233766233766,0.8744736578579587,0.4276832867752422,0.8424242424242424,0.7980678969230094
4,0.21214131860957516,0.8792207792207792,0.8773343046487062,0.5004759577187625,0.8727272727272727,0.8428293250937097
5,0.14135736167043836,0.9194805194805195,0.9181901976019624,0.4171769613569433,0.8848484848484849,0.8715755805868447
